#Time_ps,0,0.5,1,2,3,5,10,20,30,50,100,200,
1,0.0000,0.0031,0.0239,0.0459,0.0480,0.0516,0.0610,0.0623,0.0679,0.0667,0.0719,0.0738,
2,0.0000,0.0028,0.0252,0.0494,0.0531,0.0542,0.0661,0.0621,0.0694,0.0654,0.0738,0.0706,
3,0.0000,0.0024,0.0195,0.0400,0.0496,0.0483,0.0553,0.0544,0.0565,0.0566,0.0634,0.0659,
4,0.0000,0.0029,0.0164,0.0359,0.0441,0.0423,0.0484,0.0504,0.0483,0.0516,0.0548,0.0586,
5,0.0000,0.0032,0.0174,0.0349,0.0397,0.0420,0.0490,0.0489,0.0506,0.0521,0.0573,0.0603,
6,0.0000,0.0027,0.0164,0.0385,0.0421,0.0463,0.0497,0.0529,0.0483,0.0535,0.0554,0.0559,
7,0.0000,0.0023,0.0146,0.0357,0.0402,0.0432,0.0442,0.0464,0.0459,0.0487,0.0484,0.0507,
8,0.0000,0.0019,0.0142,0.0335,0.0396,0.0441,0.0454,0.0462,0.0443,0.0463,0.0476,0.0497,
9,0.0000,0.0019,0.0159,0.0381,0.0420,0.0495,0.0493,0.0504,0.0480,0.0529,0.0527,0.0577,
10,0.0000,0.0023,0.0164,0.0373,0.0446,0.0479,0.0474,0.0507,0.0472,0.0522,0.0540,0.0529,
11,0.0000,0.0029,0.0215,0.0412,0.0461,0.0491,0.0543,0.0556,0.0517,0.0556,0.0577,0.0592,
12,0.0000,0.0028,0.0213,0.0417,0.0448,0.0521,0.0538,0.0563,0.0550,0.0616,0.0589,0.0616,
13,0.0000,0.0033,0.0204,0.0424,0.0474,0.0506,0.0522,0.0544,0.0554,0.0595,0.0585,0.0590,
14,0.0000,0.0044,0.0216,0.0404,0.0450,0.0487,0.0483,0.0536,0.0539,0.0556,0.0547,0.0560,
15,0.0000,0.0061,0.0296,0.0565,0.0577,0.0622,0.0666,0.0719,0.0716,0.0712,0.0782,0.0762,
16,0.0000,0.0055,0.0221,0.0434,0.0463,0.0481,0.0542,0.0535,0.0583,0.0562,0.0617,0.0621,
17,0.0000,0.0080,0.0230,0.0402,0.0434,0.0479,0.0496,0.0524,0.0575,0.0525,0.0569,0.0598,
18,0.0000,0.0097,0.0226,0.0383,0.0416,0.0454,0.0505,0.0551,0.0543,0.0529,0.0569,0.0613,
19,0.0000,0.0123,0.0253,0.0386,0.0419,0.0480,0.0531,0.0563,0.0608,0.0573,0.0590,0.0621,
20,0.0000,0.0150,0.0265,0.0390,0.0427,0.0509,0.0531,0.0592,0.0595,0.0573,0.0589,0.0633,
21,0.0000,0.0188,0.0342,0.0460,0.0521,0.0609,0.0649,0.0748,0.0703,0.0710,0.0733,0.0794,
22,0.0000,0.0224,0.0402,0.0532,0.0615,0.0682,0.0755,0.0860,0.0776,0.0765,0.0852,0.0923,
23,0.0000,0.0411,0.0698,0.0845,0.0974,0.1050,0.1106,0.1272,0.1167,0.1149,0.1213,0.1338,
24,0.0000,0.0450,0.0683,0.0849,0.0929,0.0999,0.1143,0.1268,0.1261,0.1248,0.1308,0.1319,
25,0.0000,0.0282,0.0417,0.0563,0.0603,0.0664,0.0753,0.0830,0.0822,0.0767,0.0822,0.0844,
26,0.0000,0.0307,0.0414,0.0544,0.0561,0.0628,0.0661,0.0711,0.0701,0.0695,0.0719,0.0726,
27,0.0000,0.0264,0.0357,0.0452,0.0509,0.0505,0.0546,0.0576,0.0578,0.0571,0.0600,0.0618,
28,0.0000,0.0159,0.0253,0.0356,0.0390,0.0405,0.0438,0.0480,0.0459,0.0464,0.0505,0.0497,
29,0.0000,0.0143,0.0296,0.0439,0.0510,0.0518,0.0534,0.0558,0.0542,0.0542,0.0590,0.0577,
30,0.0000,0.0076,0.0206,0.0370,0.0430,0.0469,0.0471,0.0479,0.0503,0.0500,0.0511,0.0503,
31,0.0000,0.0038,0.0193,0.0363,0.0426,0.0470,0.0509,0.0491,0.0532,0.0526,0.0585,0.0560,
32,0.0000,0.0034,0.0222,0.0415,0.0421,0.0505,0.0562,0.0549,0.0603,0.0582,0.0668,0.0650,
33,0.0000,0.0039,0.0240,0.0484,0.0487,0.0589,0.0655,0.0716,0.0719,0.0768,0.0834,0.0879,
34,0.0000,0.0041,0.0250,0.0460,0.0497,0.0617,0.0681,0.0683,0.0762,0.0767,0.0803,0.0793,
35,0.0000,0.0036,0.0216,0.0383,0.0479,0.0516,0.0600,0.0608,0.0649,0.0657,0.0661,0.0684,
36,0.0000,0.0048,0.0178,0.0350,0.0425,0.0466,0.0522,0.0543,0.0558,0.0538,0.0561,0.0571,
37,0.0000,0.0063,0.0210,0.0399,0.0440,0.0464,0.0498,0.0526,0.0531,0.0527,0.0514,0.0532,
38,0.0000,0.0090,0.0239,0.0397,0.0436,0.0451,0.0464,0.0505,0.0496,0.0496,0.0506,0.0533,
39,0.0000,0.0144,0.0262,0.0404,0.0420,0.0485,0.0502,0.0544,0.0505,0.0531,0.0536,0.0551,
40,0.0000,0.0143,0.0281,0.0416,0.0441,0.0493,0.0555,0.0555,0.0586,0.0584,0.0576,0.0607,
41,0.0000,0.0199,0.0321,0.0447,0.0506,0.0562,0.0619,0.0583,0.0639,0.0634,0.0633,0.0648,
42,0.0000,0.0195,0.0356,0.0481,0.0545,0.0650,0.0626,0.0636,0.0639,0.0674,0.0664,0.0707,
43,0.0000,0.0202,0.0359,0.0490,0.0599,0.0658,0.0693,0.0743,0.0736,0.0776,0.0788,0.0836,
